mtu,baseline,scout
1670,955.723,955.666
1680,955.719,955.65
1690,955.666,955.661
1700,955.633,955.648
1710,955.637,955.653
1720,955.637,955.678
1730,955.627,955.683
1740,955.615,955.667
1750,955.601,955.674
1760,955.604,955.673
1770,955.598,955.705
1780,955.601,955.711
1790,955.619,955.718
1800,955.614,955.726
1810,955.647,955.704
1820,955.656,955.707
1830,955.665,955.681
1840,955.647,955.701
1850,955.68,955.705
1860,955.676,955.729
1870,955.676,955.762
1880,955.642,955.744
1890,955.625,955.766
1900,955.583,955.766
1910,955.562,955.732
1920,955.546,955.738
1930,955.549,955.722
1940,955.543,955.74
1950,955.527,955.727
1960,955.55,955.722
1970,955.536,955.752
1980,955.544,955.768
1990,955.555,955.785
2000,955.583,955.797
2010,955.578,955.796
2020,955.581,955.775
2030,955.58,955.804
2040,955.589,955.823
2050,955.619,955.828
2060,955.659,955.814
2070,955.679,955.797
2080,955.695,955.787
2090,955.68,955.78
2100,955.697,955.795
2110,955.701,955.804
2120,955.696,955.8
2130,955.683,955.805
2140,955.676,955.764
2150,955.679,955.75
2160,955.662,955.707
2170,955.646,955.686
2180,955.651,955.724
2190,955.65,955.697
2200,955.664,955.696
2210,955.68,955.725
2220,955.694,955.741
2230,955.689,955.778
2240,955.684,955.799
2250,955.67,955.805
2260,955.635,955.822
2270,955.649,955.8
2280,955.662,955.79
2290,955.673,955.797
2300,955.674,955.805
2310,955.706,955.802
2320,955.708,955.82
2330,955.704,955.808
2340,955.704,955.792
2350,955.68,955.765
2360,955.634,955.787
2370,955.644,955.795
2380,955.655,955.793
2390,955.68,955.813
2400,955.642,955.821
2410,955.605,955.821
2420,955.622,955.823
2430,955.648,955.825
2440,955.651,955.845
2450,955.663,955.857
2460,955.675,955.922
2470,955.704,955.924
2480,955.704,955.899
2490,955.726,955.918
2500,955.736,955.937
2510,955.743,955.918
2520,955.736,955.883
2530,955.739,955.849
2540,955.751,955.825
2550,955.786,955.803
2560,955.821,955.762
2570,955.821,955.769
2580,955.834,955.763
2590,955.834,955.728
2600,955.841,955.72
2610,955.842,955.711
2620,955.848,955.705
2630,955.86,955.693
2640,955.873,955.713
2650,955.882,955.721
2660,955.902,955.7
2670,955.895,955.727
2680,955.869,955.714
2690,955.867,955.692
2700,955.869,955.669
2710,955.868,955.675
2720,955.849,955.666
2730,955.822,955.664
2740,955.845,955.647
2750,955.838,955.649
2760,955.835,955.63
2770,955.841,955.608
2780,955.834,955.637
2790,955.789,955.632
2800,955.811,955.625
2810,955.785,955.636
2820,955.789,955.646
2830,955.772,955.639
2840,955.765,955.633
2850,955.731,955.652
2860,955.724,955.679
2870,955.75,955.671
2880,955.77,955.694
2890,955.747,955.732
2900,955.755,955.737
2910,955.743,955.736
2920,955.723,955.737
2930,955.711,955.714
2940,955.702,955.701
2950,955.721,955.719
2960,955.714,955.75
2970,955.692,955.709
2980,955.676,955.717
2990,955.658,955.737
3000,955.655,955.738
3010,955.681,955.739
3020,955.707,955.742
3030,955.722,955.732
3040,955.717,955.772
3050,955.688,955.771
3060,955.68,955.749
3070,955.663,955.782
3080,955.674,955.763
3090,955.702,955.78
3100,955.687,955.791
3110,955.716,955.788
3120,955.707,955.784
3130,955.717,955.794
3140,955.692,955.788
3150,955.712,955.767
3160,955.723,955.752
3170,955.707,955.764
3180,955.672,955.737
3190,955.672,955.707
3200,955.646,955.708
3210,955.67,955.721
3220,955.709,955.71
3230,955.731,955.741
3240,955.721,955.712
3250,955.719,955.666
3260,955.707,955.656
3270,955.709,955.681
3280,955.736,955.689
3290,955.748,955.689
3300,955.785,955.719
3310,955.752,955.737
3320,955.712,955.748
3330,955.709,955.763
3340,955.729,955.759
3350,955.744,955.763
3360,955.778,955.786
3370,955.782,955.763
3380,955.773,955.766
3390,955.795,955.758
3400,955.797,955.76
3410,955.754,955.756
